Brachypodium	Brachypodium hybridum	1071398	463	Brachypodium hybridum	Bhybridum		v1.1	unrestricted	JGI	JGI	97.7
Brachypodium	Brachypodium stacei	1071399	316	Brachypodium stacei	Bstacei		v1.1	restricted	JGI	JGI	98.0
Brachypodium	Brachypodium sylvaticum	29664	490	Brachypodium sylvaticum	Bsylvaticum		v1.1	restricted	JGI	JGI	98.3
Bdistachyon	Brachypodium distachyon	15368	314	Brachypodium distachyon	Bdistachyon	Purple false brome	v3.1	unrestricted	JGI	JGI	98.4
BrachyPanGenome	Brachypodium distachyon ABR2	15368	337	Brachypodium distachyon ABR2	BdistachyonABR2		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon ABR3	15368	343	Brachypodium distachyon ABR3	BdistachyonABR3		v1.1	restricted	JGI	JGI	98.7
BrachyPanGenome	Brachypodium distachyon ABR4	15368	364	Brachypodium distachyon ABR4	BdistachyonABR4		v1.1	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon ABR5	15368	379	Brachypodium distachyon ABR5	BdistachyonABR5		v1.1	restricted	JGI	JGI	97.4
BrachyPanGenome	Brachypodium distachyon ABR6	15368	336	Brachypodium distachyon ABR6	BdistachyonABR6		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon ABR7	15368	369	Brachypodium distachyon ABR7	BdistachyonABR7		v1.1	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon ABR8	15368	356	Brachypodium distachyon ABR8	BdistachyonABR8		v1.1	restricted	JGI	JGI	93.1
BrachyPanGenome	Brachypodium distachyon ABR9	15368	333	Brachypodium distachyon ABR9	BdistachyonABR9		v1.1	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Adi-10	15368	381	Brachypodium distachyon Adi-10	BdistachyonAdi_10		v1.1	restricted	JGI	JGI	94.4
