Brachypodium distachyon Mig3	15368	377	BdistachyonMig3		1.0	JGI	v1	JGI	unrestricted	97.4
Brachypodium distachyon Bd21-3	15368	378	BdistachyonBd21-3		1.0	JGI	v1	JGI	unrestricted	96.7
Brachypodium distachyon ABR5	15368	379	BdistachyonABR5		1.0	JGI	v1	JGI	unrestricted	96.4
Brachypodium distachyon BdTR11a	15368	380	BdistachyonBdTR11a		1.0	JGI	v1	JGI	unrestricted	95.9
Brachypodium distachyon Adi-10	15368	381	BdistachyonAdi-10		1.0	JGI	v1	JGI	unrestricted	84.7
Kalanchoe fedtschenkoi	63787	382	Kfedtschenkoi	lavender scallops	v1.0	JGI	v1.1	JGI	unrestricted	89.5
Arabidopsis lyrata	59689	384	Alyrata	Lyrate rockcress	v1	JGI	v2.1	MPIPZ	unrestricted	98.2
Trifolium pratense	57577	385	Tpratense	red clover	v2	TGAC	v2	TGAC	restricted	87.6
Oropetium thomaeum	1148796	386	Othomaeum		v1.0	DanforthCenter	v1.0	DanforthCenter	unrestricted	70.2
Daucus carota	4039	388	Dcarota	carrot	v2.0	WISC	v2.0	WISC	unrestricted	83.2
Solanum lycopersicum	4081	390	Slycopersicum	tomato	v2.5	iTAG	ITAG2.4	iTAG	unrestricted	95.5
Chenopodium quinoa	63459	392	Cquinoa	quinoa	v1.0	KAUST	v1.0	KAUST	unrestricted	90.6
Phaseolus vulgaris	3885	442	Pvulgaris	common bean	v2.0	JGI	v2.1	JGI	restricted	96.4
Zea mays PH207	4577	443	ZmaysPH207	maize	v1.0	UMN	v1.1	UMN	unrestricted	87.9
Populus trichocarpa	3694	444	Ptrichocarpa	western poplar	v3.0	JGI	v3.1	JGI	unrestricted	97.4
Populus deltoides WV94	3696	445	PdeltoidesWV94	eastern cottonwood	v2.0	JGI	v2.1	JGI	restricted	94.4
Brassica oleracea capitata	3712	446	Boleraceacapitata	cabbage	v1.0	OCRI	v1.0	OCRI	unrestricted	78.4
Arabidopsis thaliana	3702	447	Athaliana	thale cress	TAIR9	TAIR	Araport11	Araport	unrestricted	99.3
Solanum tuberosum	4113	448	Stuberosum	potato	v4.03	MSU	v4.03	MSU	unrestricted	85.5
Anacardium occidentale	171929	449	Aoccidentale	cashew	v0.9	JGI	v0.9	JGI	restricted	91.1
Panicum virgatum	38727	450	Pvirgatum	switchgrass	v4.0	JGI	v4.1	JGI	restricted	98.3
Olea europaea	4146	451	Oeuropaea	olive	v1.0	OGC	v1.0	OGC	unrestricted	79.9
Coffea arabica	13443	453	Carabica	coffee	v0.5	UCD	v0.5	UCD	restricted	94.8
Sorghum bicolor	4558	454	Sbicolor	cereal grass	v3.0	JGI	v3.1.1	JGI	unrestricted	98.3
Porphyra umbilicalis	2786	456	Pumbilicalis	seaweed	v1.5	JGI	v1.5	JGI	unrestricted	7.7
Vitis vinifera	29760	457	Vvinifera	grape vine	Genoscope.12X	CRIBI	v2.1	CRIBI	unrestricted	95.8
Gossypium hirsutum	3635	458	Ghirsutum	upland cotton	v1.0	JGI	v1.1	JGI	unrestricted	97.8
Amaranthus hypochondriacus	28502	459	Ahypochondriacus	grain amaranth	v2.0	BYU	v2.1	BYU	unrestricted	77.6
Brachypodium distachyon Bd21-3	15368	460	BdistachyonBd21-3		v1.0	JGI	v1.1	JGI	restricted	98.0
Chromochloris zofingiensis	31302	461	Czofingiensis		v5	UCLA	v5.2.3.2	UCLA	unrestricted	27.0
Hordeum vulgare	4513	462	Hvulgare	barley	r1	IBSC	r1	IBSC	unrestricted	84.7
Brachypodium hybridum	1071398	463	Bhybridum		v1.0	JGI	v1.1	JGI	restricted	99.4
Lactuca sativa	4236	467	Lsativa	lettuce	v8	UCDavis	V8	UCDavis	unrestricted	92.5
Sorghum bicolor Rio	4558	468	SbicolorRio	sorghum Rio	v2.0	JGI	v2.1	JGI	unrestricted	97.0
Vigna unguiculata	3917	469	Vunguiculata	cowpea	v1.0	UCR	v1.1	JGI	unrestricted	95.9
Caulanthus amplexicaulis	154096	470	Camplexicaulis	claspingleaf wild cabbage	v1	JGI	v1.1	JGI	restricted	98.8
Myagrum perfoliatum	359867	471	Mperfoliatum	bird's eye cress	v1	JGI	v1.1	JGI	restricted	97.6
Alyssum linifolium	457770	472	Alinifolium		v1	JGI	v1.1	JGI	restricted	98.5
Rorippa islandica	157092	473	Rislandica	marsh cress	v1	JGI	v1.1	JGI	restricted	98.1
Capsella rubella	81985	474	Crubella	Pink shepherd's purse	v1	JGI	v1.1	JGI	unrestricted	97.2
Isatis tinctoria	161756	475	Itinctoria	dyer's woad	v1	JGI	v1.1	JGI	restricted	96.8
Lunaria annua	153659	476	Lannua	annual honesty	v1	JGI	v1.1	JGI	restricted	97.6
