Brachypodium distachyon BdTR3c	15368	354	BdistachyonBdTR3c		1.0	JGI	v1	JGI	unrestricted	98.0
Brachypodium distachyon Arn1	15368	355	BdistachyonArn1		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon ABR8	15368	356	BdistachyonABR8		1.0	JGI	v1	JGI	unrestricted	91.5
Brachypodium distachyon BdTR11g	15368	357	BdistachyonBdTR11g		1.0	JGI	v1	JGI	unrestricted	97.6
Brachypodium distachyon Adi-12	15368	359	BdistachyonAdi-12		1.0	JGI	v1	JGI	unrestricted	95.8
Brachypodium distachyon Bd21 AsmbCtrl	15368	361	BdistachyonBd21AsmbCtrl		1.0	JGI	v1	JGI	unrestricted	97.1
Brachypodium distachyon Bd18-1	15368	362	BdistachyonBd18-1		1.0	JGI	v1	JGI	unrestricted	98.4
Brachypodium distachyon ABR4	15368	364	BdistachyonABR4		1.0	JGI	v1	JGI	unrestricted	97.2
Brachypodium distachyon BdTR13c	15368	365	BdistachyonBdTR13c		1.0	JGI	v1	JGI	unrestricted	95.1
Brachypodium distachyon BdTR2g	15368	367	BdistachyonBdTR2g		1.0	JGI	v1	JGI	unrestricted	95.3
Brachypodium distachyon ABR7	15368	369	BdistachyonABR7		1.0	JGI	v1	JGI	unrestricted	98.1
Brachypodium distachyon BdTR5i	15368	370	BdistachyonBdTR5i		1.0	JGI	v1	JGI	unrestricted	94.1
Brachypodium distachyon Adi-2	15368	372	BdistachyonAdi-2		1.0	JGI	v1	JGI	unrestricted	97.6
Brachypodium distachyon BdTR10c	15368	374	BdistachyonBdTR10c		1.0	JGI	v1	JGI	unrestricted	93.3
Brachypodium distachyon BdTR2b	15368	376	BdistachyonBdTR2b		1.0	JGI	v1	JGI	unrestricted	96.7
Brachypodium distachyon Bd21-3	15368	378	BdistachyonBd21-3		1.0	JGI	v1	JGI	unrestricted	96.7
Brachypodium distachyon ABR5	15368	379	BdistachyonABR5		1.0	JGI	v1	JGI	unrestricted	96.4
Brachypodium distachyon Koz-1	15368	330	BdistachyonKoz-1		1.0	JGI	v1	JGI	unrestricted	98.3
Brachypodium distachyon Bd21 AnntCtrl	15368	331	BdistachyonBd21AnntCtrl		1.0	JGI	v1	JGI	unrestricted	98.1
Brachypodium distachyon Tek-4	15368	332	BdistachyonTek-4		1.0	JGI	v1	JGI	unrestricted	75.1
Brachypodium distachyon Pangenome	15368	335	BdistachyonPangenome		1.0	JGI	v1	JGI	unrestricted	98.7
Brachypodium distachyon Bis-1	15368	338	BdistachyonBis-1		1.0	JGI	v1	JGI	unrestricted	96.9
Brachypodium distachyon Gaz-8	15368	339	BdistachyonGaz-8		1.0	JGI	v1	JGI	unrestricted	75.0
Brachypodium distachyon Tek-2	15368	341	BdistachyonTek-2		1.0	JGI	v1	JGI	unrestricted	96.7
Brachypodium distachyon Kah-5	15368	342	BdistachyonKah-5		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon Luc1	15368	347	BdistachyonLuc1		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon Mon3	15368	350	BdistachyonMon3		1.0	JGI	v1	JGI	unrestricted	96.6
Brachypodium distachyon Kah-1	15368	351	BdistachyonKah-1		1.0	JGI	v1	JGI	unrestricted	86.5
Brachypodium distachyon BdTR9k	15368	358	BdistachyonBdTR9k		1.0	JGI	v1	JGI	unrestricted	94.5
Brachypodium distachyon Ron2	15368	360	BdistachyonRon2		1.0	JGI	v1	JGI	unrestricted	97.6
Brachypodium distachyon Foz1	15368	366	BdistachyonFoz1		1.0	JGI	v1	JGI	unrestricted	96.8
Brachypodium distachyon Koz-3	15368	368	BdistachyonKoz-3		1.0	JGI	v1	JGI	unrestricted	95.6
Brachypodium distachyon Sig2	15368	371	BdistachyonSig2		1.0	JGI	v1	JGI	unrestricted	96.7
Brachypodium distachyon Mur1	15368	373	BdistachyonMur1		1.0	JGI	v1	JGI	unrestricted	96.2
Brachypodium distachyon Jer1	15368	375	BdistachyonJer1		1.0	JGI	v1	JGI	unrestricted	96.5
Brachypodium distachyon Mig3	15368	377	BdistachyonMig3		1.0	JGI	v1	JGI	unrestricted	97.4
Kalanchoe fedtschenkoi	63787	382	Kfedtschenkoi	lavender scallops	v1.0	JGI	v1.1	JGI	unrestricted	89.5
Brachypodium hybridum	1071398	463	Bhybridum		v1.0	JGI	v1.1	JGI	unrestricted	99.4
Olea europaea	4146	451	Oeuropaea	olive	v1.0	OGC	v1.0	OGC	unrestricted	79.9
Daucus carota	4039	388	Dcarota	carrot	v2.0	WISC	v2.0	WISC	unrestricted	83.2
Oryza sativa Kitaake	4530	499	OsativaKitaake	rice	v3.0	JGI	v3.1	JGI	unrestricted	99.1
Oropetium thomaeum	1148796	386	Othomaeum		v1.0	DanforthCenter	v1.0	DanforthCenter	unrestricted	70.2
Anacardium occidentale	171929	449	Aoccidentale	cashew	v0.9	JGI	v0.9	JGI	restricted	91.1
Coffea arabica	13443	453	Carabica	coffee	v0.5	UCD	v0.5	UCD	restricted	94.8
Arabidopsis lyrata	59689	384	Alyrata	Lyrate rockcress	v1	JGI	v2.1	MPIPZ	unrestricted	98.2
